iter	Passed	Remaining
0	151	30178
1	157	15606
2	163	10754
3	170	8338
4	175	6863
5	181	5861
6	186	5145
7	208	4996
8	213	4529
9	219	4164
10	223	3848
11	228	3581
12	234	3368
13	239	3175
14	244	3010
15	249	2870
16	254	2743
17	260	2631
18	266	2537
19	271	2442
20	276	2353
21	282	2283
22	287	2215
23	292	2146
24	298	2091
25	303	2033
26	308	1979
27	314	1930
28	319	1882
29	324	1841
30	330	1802
31	336	1764
32	341	1727
33	346	1693
34	352	1659
35	357	1629
36	363	1599
37	368	1570
38	373	1543
39	378	1514
40	384	1490
41	390	1470
42	396	1448
43	402	1427
44	409	1409
45	416	1393
46	423	1379
47	431	1366
48	438	1350
49	444	1332
50	450	1315
51	456	1300
52	462	1283
53	468	1267
54	474	1250
55	480	1235
56	486	1220
57	492	1206
58	499	1193
59	508	1185
60	514	1173
61	525	1168
62	533	1159
63	543	1155
64	555	1153
65	562	1142
66	569	1131
67	575	1117
68	582	1105
69	588	1093
70	594	1080
71	600	1068
72	606	1055
73	614	1046
74	621	1035
75	627	1023
76	634	1012
77	640	1001
78	646	990
79	652	978
80	658	967
81	665	957
82	671	945
83	677	935
84	684	925
85	690	914
86	695	903
87	704	896
88	711	887
89	718	877
90	723	867
91	730	857
92	736	847
93	742	837
94	749	828
95	755	818
96	762	809
97	769	800
98	776	792
99	783	783
100	790	775
101	798	766
102	804	757
103	811	748
104	817	739
105	823	730
106	830	721
107	836	712
108	843	704
109	849	695
110	856	686
111	862	677
112	869	669
113	876	660
114	882	652
115	889	643
116	896	635
117	902	627
118	909	619
119	915	610
120	922	602
121	929	594
122	935	585
123	942	577
124	948	569
125	955	561
126	961	552
127	967	544
128	974	536
129	981	528
130	988	520
131	994	512
132	1001	504
133	1008	496
134	1015	488
135	1022	481
136	1028	473
137	1035	465
138	1041	457
139	1048	449
140	1056	441
141	1063	434
142	1069	426
143	1075	418
144	1082	410
145	1089	402
146	1095	394
147	1102	387
148	1109	379
149	1116	372
150	1123	364
151	1128	356
152	1135	348
153	1141	340
154	1147	333
155	1153	325
156	1159	317
157	1165	309
158	1171	302
159	1178	294
160	1184	286
161	1190	279
162	1197	271
163	1205	264
164	1211	257
165	1219	249
166	1225	242
167	1233	234
168	1240	227
169	1247	220
170	1254	212
171	1260	205
172	1267	197
173	1274	190
174	1281	183
175	1288	175
176	1295	168
177	1302	161
178	1309	153
179	1316	146
180	1323	138
181	1331	131
182	1338	124
183	1345	116
184	1351	109
185	1358	102
186	1364	94
187	1369	87
188	1376	80
189	1381	72
190	1386	65
191	1392	58
192	1397	50
193	1401	43
194	1407	36
195	1412	28
196	1417	21
197	1422	14
198	1428	7
199	1435	0
